Loci	N30	T30	O30	N30p	T30p	O30p	N20	T20	N20p	T20p
13_5941341	0.656	-0.028	0.402	0.072	0.964	0.072	0.654	-0.031	0.102	0.947
13_5997924	0.098	-0.057	0.031	0.413	0.601	0.493	-0.080	-0.046	0.518	0.673
13_6716089	-0.014	-0.000	-0.009	0.988	1.000	0.988	-0.016	-0.000	0.986	1.000
13_12006437	NA	-0.015	-0.013	NA	0.985	0.985	NA	-0.017	NA	0.984
13_12006582	0.657	0.092	0.282	0.059	0.493	0.036	0.657	-0.100	0.056	0.713
13_13893987	-0.032	NA	-0.031	0.955	NA	0.955	-0.040	NA	0.933	NA
13_21143063	0.339	0.235	0.287	0.043	0.117	0.009	0.255	0.191	0.161	0.209
13_21627204	NA	-0.015	-0.016	NA	0.986	0.986	NA	-0.015	NA	0.985
13_21627210	-0.086	-0.046	-0.070	0.734	0.911	0.667	-0.051	-0.048	0.922	0.926
13_21627230	-0.013	NA	-0.013	0.989	NA	0.989	0.000	NA	1.000	NA
13_21627246	-0.027	NA	-0.026	0.967	NA	0.967	0.000	NA	1.000	NA
13_21627250	-0.027	NA	-0.026	0.956	NA	0.956	-0.016	NA	0.979	NA
13_21627261	-0.041	-0.014	-0.031	0.925	0.989	0.915	0.000	-0.015	1.000	0.985
13_21627262	-0.013	NA	-0.013	0.987	NA	0.987	0.000	NA	1.000	NA
13_21627270	0.028	-0.273	-0.143	0.648	0.118	0.098	0.158	-0.294	0.403	0.092
13_21627275	0.228	0.013	0.080	0.237	0.625	0.360	0.479	-0.005	0.084	0.688
13_21627295	-0.029	-0.000	-0.021	0.958	1.000	0.958	-0.017	-0.000	0.982	1.000
13_21997738	1.000	-0.000	0.754	0.024	1.000	0.024	1.000	NA	0.024	NA
13_23848117	0.393	-0.078	0.166	0.020	0.461	0.067	0.352	-0.188	0.077	0.233
13_27625225	0.000	-0.043	-0.018	0.661	0.627	0.483	0.046	-0.179	0.571	0.381
13_27625279	0.178	0.252	0.212	0.197	0.117	0.042	0.127	0.152	0.380	0.329
13_27625301	0.103	0.206	0.148	0.365	0.189	0.130	0.109	0.152	0.410	0.321
13_30071719	-0.015	NA	-0.015	0.981	NA	0.981	-0.017	NA	0.990	NA
13_31761982	-0.101	0.539	0.197	0.674	0.017	0.119	-0.088	0.365	0.794	0.137
13_39785531	NA	0.659	0.658	NA	0.054	0.054	NA	0.659	NA	0.049
13_39785645	0.234	0.074	0.158	0.155	0.523	0.128	0.039	0.058	0.600	0.544
14_3392364	-0.022	-0.014	-0.020	0.975	0.983	0.958	-0.022	-0.016	0.981	0.981
14_4843624	-0.000	-0.014	-0.009	1.000	0.995	0.995	0.000	-0.016	1.000	0.984
14_10698069	NA	0.659	0.658	NA	0.054	0.054	NA	0.658	NA	0.061
14_15466693	-0.000	-0.027	-0.020	1.000	0.957	0.957	0.000	-0.031	1.000	0.952
14_16048888	0.660	NA	0.660	0.047	NA	0.047	-0.000	NA	1.000	NA
14_16881568	0.659	-0.026	0.355	0.050	0.959	0.050	0.659	-0.031	0.045	0.965
14_17188888	0.480	-0.057	0.199	0.101	0.850	0.103	0.477	-0.048	0.103	0.905
14_17905441	-0.118	-0.041	-0.093	0.586	0.928	0.541	-0.148	-0.048	0.510	0.928
14_24559235	0.247	-0.004	0.116	0.111	0.624	0.224	0.088	-0.141	0.446	0.340
14_24559417	0.090	-0.133	-0.026	0.426	0.309	0.494	-0.002	-0.179	0.633	0.248
14_26311822	-0.027	0.288	0.182	0.966	0.183	0.183	0.000	0.365	1.000	0.148
14_35255400	0.140	0.146	0.143	0.326	0.311	0.162	0.231	0.074	0.206	0.502
15_5470024	0.000	-0.015	-0.008	1.000	0.982	0.982	0.000	-0.016	1.000	0.987
15_6810312	-0.027	NA	-0.027	0.971	NA	0.971	0.000	NA	1.000	NA
15_6810417	-0.045	0.283	0.154	0.925	0.210	0.210	-0.053	0.281	0.904	0.210
15_7240128	-0.158	-0.067	-0.125	0.482	0.835	0.396	-0.154	-0.074	0.486	0.851
15_7240209	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
15_7560834	0.000	1.000	0.655	1.000	0.012	0.012	-0.000	NA	1.000	NA
15_18126890	0.011	-0.000	0.007	0.675	1.000	0.675	0.011	-0.000	0.703	1.000
15_18909478	-0.030	NA	-0.030	0.951	NA	0.951	-0.017	NA	0.980	NA
15_22045538	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
15_24153517	0.211	0.000	0.107	0.186	0.631	0.254	0.143	0.023	0.335	0.614
15_26136806	0.664	-0.191	0.282	0.002	0.245	0.011	0.698	-0.208	0.001	0.224
15_27190287	0.840	-0.088	0.464	0.003	0.760	0.003	0.836	-0.082	0.005	0.767
15_28075909	-0.086	0.379	0.178	0.744	0.071	0.078	-0.107	0.218	0.706	0.288
15_28076206	0.216	0.014	0.118	0.192	0.622	0.227	0.183	-0.020	0.273	0.585
15_28076229	1.000	-0.087	0.190	0.016	0.801	0.211	1.000	-0.067	0.015	0.877
15_30208585	-0.063	-0.013	-0.057	0.539	0.989	0.534	-0.186	-0.015	0.291	0.984
15_30208595	-0.507	-0.027	-0.442	0.005	0.956	0.005	-0.544	-0.015	0.005	0.985
15_30706494	0.558	0.150	0.345	0.020	0.281	0.017	0.542	0.023	0.024	0.604
15_31066048	1.000	-0.059	0.490	0.002	0.862	0.003	1.000	-0.065	0.004	0.854
16_92668	-0.057	-0.031	-0.046	0.874	0.939	0.817	-0.069	-0.034	0.868	0.949
16_92914	-0.048	-0.400	-0.223	0.512	0.035	0.033	-0.161	-0.441	0.307	0.022
16_92927	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
16_11323863	0.284	-0.026	0.186	0.203	0.966	0.203	0.277	-0.031	0.227	0.962
16_19498075	1.000	0.000	0.710	0.018	1.000	0.018	1.000	-0.000	0.015	1.000
16_20526019	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
16_20526064	-0.000	1.000	0.661	1.000	0.015	0.015	NA	NA	NA	NA
16_22269199	-0.031	-0.000	-0.023	0.971	1.000	0.971	-0.036	0.000	0.948	1.000
16_22536680	-0.029	NA	-0.028	0.960	NA	0.960	-0.017	NA	0.989	NA
16_22536711	-0.016	NA	-0.017	0.983	NA	0.983	-0.019	NA	0.981	NA
16_22536791	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
16_22694038	-0.000	0.482	0.381	1.000	0.077	0.077	-0.000	-0.016	1.000	0.982
16_25339666	0.241	0.250	0.245	0.110	0.099	0.017	0.202	0.165	0.208	0.258
16_26156559	-0.015	-0.000	-0.011	0.984	1.000	0.984	0.000	NA	1.000	NA
16_26156562	-0.015	NA	-0.016	0.984	NA	0.984	-0.018	NA	0.978	NA
16_26156568	-0.048	NA	-0.049	0.904	NA	0.904	-0.055	NA	0.893	NA
17_1789891	NA	-0.016	-0.015	NA	0.984	0.984	NA	-0.018	NA	0.978
17_1789970	0.284	0.481	0.364	0.218	0.089	0.027	0.362	0.479	0.164	0.084
17_1789971	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
17_4295833	0.000	1.000	0.654	1.000	0.016	0.016	0.000	NA	1.000	NA
17_4296046	0.367	-0.075	0.131	0.147	0.809	0.151	0.362	-0.085	0.151	0.776
17_5392131	-0.088	0.164	0.074	0.768	0.317	0.425	-0.094	0.153	0.758	0.355
17_6087688	0.000	0.000	-0.000	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
17_6087689	-0.016	NA	-0.015	0.985	NA	0.985	-0.020	NA	0.970	NA
17_6087703	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
17_6087706	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
17_6087718	-0.031	-0.019	-0.026	0.957	0.983	0.941	0.000	-0.020	1.000	0.981
17_6087727	0.000	0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
17_6087770	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
17_6087902	-0.014	0.000	-0.009	0.986	1.000	0.986	-0.000	0.000	1.000	1.000
17_6087903	-0.000	0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
17_6087906	NA	-0.014	-0.014	NA	0.989	0.989	NA	0.000	NA	1.000
17_7765551	-0.115	-0.060	-0.089	0.431	0.593	0.352	-0.116	-0.200	0.466	0.339
17_7765572	0.132	-0.013	0.059	0.296	0.561	0.335	0.055	-0.104	0.520	0.396
17_7947124	-0.172	-0.200	-0.186	0.242	0.211	0.071	-0.237	-0.313	0.197	0.071
17_7947353	-0.010	-0.170	-0.084	0.713	0.410	0.405	-0.029	-0.170	0.701	0.421
17_8504087	NA	-0.014	-0.015	NA	0.989	0.989	NA	-0.015	NA	0.985
17_13244932	-0.067	0.147	0.035	0.580	0.311	0.482	-0.192	0.003	0.331	0.690
17_13245112	-0.031	0.469	0.204	0.652	0.023	0.099	-0.184	0.457	0.395	0.027
17_14472552	0.483	-0.121	0.072	0.080	0.580	0.465	0.659	-0.082	0.045	0.794
17_20021569	-0.002	0.108	0.061	0.746	0.383	0.388	-0.192	-0.005	0.349	0.691
17_22153504	-0.014	0.538	0.405	0.982	0.021	0.026	-0.017	0.533	0.980	0.020
17_22153542	0.228	-0.095	0.077	0.150	0.456	0.223	0.277	-0.162	0.144	0.325
18_508393	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
18_5222269	1.000	-0.000	0.685	0.014	1.000	0.014	1.000	0.000	0.022	1.000
18_5222505	0.163	0.090	0.127	0.253	0.425	0.166	0.082	-0.015	0.474	0.620
18_5735380	0.000	0.000	0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
18_6652613	0.128	0.019	0.067	0.424	0.662	0.422	-0.088	0.003	0.767	0.688
18_6652707	0.134	-0.147	-0.017	0.427	0.466	0.670	-0.088	-0.179	0.787	0.386
18_7134776	0.209	0.250	0.230	0.171	0.106	0.034	0.221	0.113	0.184	0.379
18_8784998	-0.119	0.360	0.085	0.618	0.153	0.201	-0.137	0.360	0.580	0.151
18_8785023	NA	0.659	0.658	NA	0.053	0.053	NA	0.659	NA	0.054
18_13752056	-0.060	0.069	0.006	0.575	0.482	0.613	-0.046	0.074	0.635	0.517
18_13752108	-0.169	0.186	0.013	0.345	0.263	0.608	-0.148	0.255	0.536	0.191
18_14203113	0.191	0.231	0.209	0.226	0.150	0.051	0.242	0.159	0.171	0.327
18_16371555	0.175	-0.061	0.079	0.317	0.874	0.403	0.213	-0.069	0.284	0.837
18_18863226	0.245	0.311	0.279	0.141	0.050	0.009	0.233	0.208	0.185	0.203
18_18863419	0.028	0.291	0.120	0.634	0.183	0.273	0.068	0.283	0.533	0.211
19_2244678	NA	-0.013	-0.011	NA	0.983	0.983	NA	NA	NA	NA
19_3927087	-0.063	0.266	0.117	0.521	0.094	0.120	-0.066	0.291	0.543	0.102
19_3927114	0.060	0.378	0.245	0.576	0.030	0.022	0.068	0.405	0.583	0.046
19_6697649	NA	-0.018	-0.019	NA	0.984	0.984	NA	-0.018	NA	0.979
19_6697672	NA	-0.016	-0.017	NA	0.981	0.981	NA	-0.018	NA	0.982
19_6697690	NA	-0.016	-0.017	NA	0.976	0.976	NA	-0.018	NA	0.984
19_7677305	-0.042	0.368	0.188	0.925	0.151	0.153	-0.051	0.364	0.911	0.167
19_7677490	0.660	-0.031	0.321	0.042	0.958	0.042	0.659	-0.034	0.045	0.945
19_8942982	-0.067	0.060	-0.011	0.591	0.542	0.542	-0.046	0.039	0.630	0.602
19_10746623	0.333	0.193	0.262	0.041	0.200	0.027	-0.046	0.119	0.607	0.396
19_10915295	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
19_10915335	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	NA	1.000	NA
19_10915420	-0.086	0.173	0.080	0.738	0.293	0.299	-0.069	0.039	0.847	0.613
19_13761761	NA	0.480	0.481	NA	0.095	0.095	NA	0.478	NA	0.102
19_18033467	0.226	0.232	0.230	0.193	0.125	0.035	0.068	0.074	0.575	0.488
20_14905081	0.393	-0.312	0.041	0.027	0.055	0.318	0.311	-0.350	0.100	0.043
21_610193	0.339	0.079	0.211	0.058	0.428	0.039	0.101	-0.005	0.449	0.669
21_610350	0.308	0.081	0.189	0.092	0.479	0.105	0.195	0.066	0.302	0.520
21_1289078	0.224	0.012	0.120	0.133	0.586	0.143	0.082	0.019	0.475	0.598
21_10401591	-0.000	1.000	0.653	1.000	0.017	0.017	0.000	NA	1.000	NA
21_10950143	0.481	-0.000	0.380	0.082	1.000	0.082	0.478	-0.000	0.085	1.000
21_11095077	-0.032	NA	-0.033	0.960	NA	0.960	-0.037	NA	0.944	NA
21_11171755	0.628	-0.013	0.518	0.027	0.993	0.027	0.652	-0.015	0.089	0.981
21_12059144	0.056	0.329	0.200	0.496	0.035	0.055	0.030	0.298	0.593	0.089
21_12580618	-0.029	-0.042	-0.036	0.961	0.926	0.889	-0.017	-0.048	0.985	0.913
21_12580619	-0.000	-0.014	-0.009	1.000	0.987	0.987	-0.000	-0.015	1.000	0.983
21_13206285	0.218	0.450	0.337	0.268	0.036	0.011	0.208	0.441	0.350	0.051
21_13334916	-0.000	1.000	0.673	1.000	0.012	0.012	-0.000	1.000	1.000	0.015
21_15976469	0.000	-0.013	-0.007	1.000	0.993	0.993	-0.000	-0.000	1.000	1.000
21_15976472	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	NA	1.000	NA
21_15976488	0.000	0.291	0.237	1.000	0.173	0.173	-0.000	0.283	1.000	0.202
21_15976495	0.098	-0.000	0.086	0.572	1.000	0.572	0.088	-0.000	0.573	1.000
21_15976538	NA	0.371	0.377	NA	0.124	0.124	NA	-0.000	NA	1.000
21_15976563	NA	-0.013	-0.008	NA	0.994	0.994	NA	-0.015	NA	0.987
22_4157615	0.650	-0.054	0.292	0.001	0.483	0.016	0.650	-0.078	0.001	0.443
22_6289517	0.150	-0.085	0.040	0.281	0.453	0.351	0.030	-0.081	0.582	0.474
22_6448168	0.000	-0.083	-0.067	1.000	0.779	0.779	-0.000	-0.082	1.000	0.781
22_6448340	0.000	-0.000	-0.001	1.000	1.000	1.000	0.000	0.000	1.000	1.000
22_6460988	-0.143	-0.226	-0.186	0.314	0.161	0.073	-0.116	-0.228	0.464	0.193
22_6559554	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
22_11963653	0.131	0.127	0.129	0.416	0.368	0.197	0.158	0.147	0.404	0.353
24_5226414	0.074	0.381	0.190	0.506	0.069	0.116	0.008	-0.069	0.667	0.847
24_6443054	-0.042	0.345	0.152	0.545	0.031	0.126	-0.109	0.308	0.410	0.066
24_6443073	-0.039	0.455	0.222	0.607	0.010	0.042	-0.081	0.393	0.559	0.025
24_7669364	0.094	0.070	0.082	0.406	0.476	0.313	0.055	0.007	0.515	0.616
24_7697476	0.382	0.146	0.267	0.028	0.286	0.012	0.254	0.066	0.159	0.486
24_11303338	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
24_11303346	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
24_11303390	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
25_1262714	0.142	0.295	0.225	0.327	0.060	0.039	0.028	0.258	0.650	0.139
25_1262827	0.028	0.075	0.051	0.566	0.435	0.379	-0.048	-0.060	0.540	0.494
25_5928517	-0.101	0.550	0.257	0.683	0.007	0.051	-0.069	0.625	0.834	0.006
25_7884982	0.636	-0.042	0.410	0.017	0.914	0.017	0.632	-0.048	0.022	0.912
25_9634033	-0.188	0.039	-0.076	0.325	0.636	0.446	-0.216	0.022	0.278	0.662
25_9634090	-0.188	0.039	-0.076	0.277	0.611	0.418	-0.216	0.022	0.299	0.680
25_9883891	0.369	0.024	0.133	0.137	0.651	0.258	-0.033	-0.158	0.950	0.446
25_9883929	-0.057	-0.040	-0.050	0.860	0.913	0.785	-0.069	-0.031	0.823	0.955
25_10489788	0.321	0.161	0.240	0.085	0.240	0.031	0.186	0.012	0.290	0.609
25_14005035	0.430	0.042	0.252	0.035	0.580	0.034	0.343	-0.097	0.145	0.523
25_14005096	0.354	0.042	0.205	0.053	0.565	0.043	0.386	-0.097	0.041	0.472
25_14975521	NA	-0.016	-0.016	NA	0.983	0.983	NA	-0.018	NA	0.982
25_15962907	-0.016	NA	-0.015	0.979	NA	0.979	0.000	NA	1.000	NA
26_1050025	0.115	-0.097	0.023	0.450	0.712	0.461	0.102	-0.094	0.525	0.756
26_1050026	0.028	-0.193	-0.082	0.623	0.327	0.419	0.015	-0.208	0.682	0.358
26_1207822	NA	0.134	0.137	NA	0.393	0.393	NA	0.165	NA	0.355
26_1207881	0.519	-0.101	0.247	0.040	0.697	0.050	0.344	-0.119	0.207	0.651
26_2223196	-0.015	NA	-0.014	0.976	NA	0.976	-0.018	NA	0.980	NA
26_2223201	-0.015	-0.016	-0.016	0.987	0.985	0.972	-0.018	-0.017	0.979	0.980
26_2747231	0.324	0.139	0.237	0.095	0.343	0.038	0.288	-0.066	0.158	0.586
26_3608195	0.028	0.152	0.099	0.623	0.292	0.252	-0.170	-0.065	0.439	0.574
26_4045904	0.544	0.045	0.297	0.002	0.548	0.011	0.507	0.011	0.010	0.609
26_4045918	0.510	-0.129	0.182	0.006	0.364	0.061	0.507	-0.172	0.014	0.272
26_4046201	0.553	-0.178	0.177	0.001	0.237	0.047	0.512	-0.331	0.011	0.062
26_4517731	0.243	0.311	0.277	0.120	0.054	0.013	0.265	0.188	0.126	0.211
26_5593905	0.632	-0.043	0.241	0.019	0.636	0.037	0.628	-0.208	0.023	0.298
26_10589791	0.241	0.072	0.156	0.149	0.481	0.099	0.231	0.034	0.185	0.607
26_13486177	0.175	0.175	0.175	0.333	0.357	0.174	-0.053	-0.085	0.906	0.793
26_13486500	NA	-0.017	-0.017	NA	0.982	0.982	NA	-0.020	NA	0.975
26_13486521	-0.000	1.000	0.674	1.000	0.016	0.016	0.000	1.000	1.000	0.021
26_14493096	0.255	0.340	0.302	0.140	0.040	0.009	0.062	0.211	0.608	0.193
27_1181629	0.274	0.014	0.139	0.124	0.590	0.181	0.181	-0.032	0.286	0.572
27_7442859	-0.018	NA	-0.019	0.984	NA	0.984	-0.021	NA	0.986	NA
27_7442934	-0.106	0.259	0.051	0.479	0.178	0.453	-0.084	0.307	0.556	0.135
27_9700303	0.287	-0.041	0.158	0.204	0.922	0.205	0.279	-0.048	0.235	0.908
27_10376682	0.751	0.039	0.362	0.004	0.534	0.004	0.697	-0.019	0.006	0.624
27_12491720	0.189	-0.270	-0.025	0.219	0.099	0.514	0.082	-0.261	0.451	0.128
27_16220616	0.093	0.477	0.247	0.429	0.017	0.046	-0.127	0.367	0.418	0.094
28_4809365	1.000	0.000	0.766	0.022	1.000	0.022	1.000	0.000	0.017	1.000
28_4809466	1.000	-0.000	0.735	0.023	1.000	0.023	1.000	-0.000	0.019	1.000
Multi-locus	0.133	0.098	0.115	0.001	0.001	0.001	0.092	0.040	0.001	0.001
